instance_id,logical_reasoning_required,codebase_scope,atypicality,solution_complexity,test_edge_case_coverage,domain_knowledge_required,debugging_complexity,side_effect_risk,implementation_language_complexity,change_blast_radius,standard_pattern_available,information_completeness,expected_behavior_clarity,error_specificity,solution_hint
abetlen__llama-cpp-python-218d361,4,5,4,5,2,4,4,4,4,2,0,3,2,2,1
abetlen__llama-cpp-python-2bc1d97,4,5,5,5,2,5,3,4,4,3,0,3,2,2,1
huggingface__datasets-5994036,4,3,3,3,1,4,2,3,2,3,0,4,3,3,1
huggingface__datasets-c5464b3,4,2,4,4,2,4,4,4,2,2,0,4,2,3,1
huggingface__datasets-ef3b5dd,4,5,4,5,2,4,4,4,2,3,0,4,3,3,3
huggingface__tokenizers-076319d,4,2,3,4,3,4,2,4,5,3,1,4,3,3,3
huggingface__tokenizers-bfd9cde,3,3,4,3,2,4,2,3,5,2,0,5,4,4,3
huggingface__tokenizers-c893204,4,1,4,4,2,4,3,3,5,3,0,4,3,3,1
huggingface__tokenizers-fc76ad4,3,3,2,3,2,4,2,2,5,2,1,4,2,3,3
huggingface__transformers-211f93a,4,2,4,3,2,4,2,3,2,2,0,4,3,3,1
huggingface__transformers-253f9a3,3,3,2,2,2,4,2,2,2,2,1,4,3,3,3
huggingface__transformers-63b90a5,3,1,2,3,3,3,2,3,2,2,1,4,3,3,1
huggingface__transformers-d51b589,4,1,4,3,1,5,3,2,2,2,0,4,3,4,2
numpy__numpy-09db9c7,4,4,4,4,4,5,2,3,5,3,0,4,3,3,3
numpy__numpy-11a7e2d,4,3,4,4,3,5,2,3,4,4,0,5,4,4,3
numpy__numpy-19bfa3f,4,4,4,4,3,5,3,3,3,2,0,4,3,3,3
numpy__numpy-1b861a2,4,5,4,5,1,5,3,4,3,2,0,4,3,3,3
numpy__numpy-1fcda82,4,5,4,5,4,5,2,3,4,3,0,4,3,3,3
numpy__numpy-22ab9aa,4,4,4,5,2,5,2,3,4,3,0,4,3,3,3
numpy__numpy-248c60e,3,4,4,4,4,5,2,3,5,3,0,5,3,3,3
numpy__numpy-2540554,4,1,4,4,3,5,3,3,3,3,0,5,3,3,3
numpy__numpy-28706af,4,4,4,4,1,5,4,3,5,4,0,4,3,3,1
numpy__numpy-2dfd21e,4,4,4,4,1,5,2,3,5,3,0,4,3,3,1
numpy__numpy-330057f,4,2,4,3,4,5,3,1,5,5,0,4,3,3,3
numpy__numpy-382b3ff,3,1,4,2,1,5,3,1,4,4,0,5,3,4,3
numpy__numpy-567b57d,4,4,4,4,2,5,3,3,3,2,0,4,3,3,3
numpy__numpy-5f94eb8,4,3,4,4,2,5,2,3,5,4,0,4,3,3,3
