solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,reasoning,_task_id,_model,_provider,_extracted_at,num_lines,num_pipes,log_lines
1,3,4,4,4,4,3,0,"This task requires digital forensics knowledge to recover deleted data from a disk image file. The solution involves finding byte offsets in raw disk images using grep, extracting data windows with dd, and reconstructing the password through complex string manipulation and combination logic. The task is atypical as it combines low-level disk forensics with pattern matching and requires understanding of how deleted files leave traces in disk images.",password-recovery,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:43.474032,63,21,1.806179973983887
1,4,5,4,4,3,4,0,"This task requires integrating OCR (tesseract), PDF processing (PyMuPDF), image processing (PIL/OpenCV), and financial data extraction with regex patterns. The solution involves complex document classification logic, handling multiple currency/number formats (European vs US), and edge cases like conflicting Total/Amount Due values. The tooling complexity is high requiring tesseract installation, Python with multiple dependencies, and custom regex patterns for financial data extraction from OCR-processed text.",financial-document-processor,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:25.235866,318,1,2.503790683057181
1,3,4,4,3,3,4,1,"This task requires deep knowledge of QEMU virtualization options (serial console over telnet, daemonization, display options) and combining it with expect scripting for synchronization. The solution involves multiple specialized tools (qemu-system-x86_64, expect) with non-trivial configuration flags. Verification is timing-sensitive as it requires waiting for a VM to boot before the telnet connection succeeds.",qemu-startup,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:50.841398,37,0,1.57978359661681
1,3,4,4,4,4,2,0,"This task requires deep knowledge of SQLite WAL file format, including recognizing the magic bytes and understanding that the WAL is XOR-encrypted with a specific key (0x42). The solver must deduce the encryption scheme by comparing expected vs actual header bytes, write custom decryption code, and understand how SQLite processes WAL files. While the output verification is straightforward (JSON comparison), the path to solution involves uncommon forensic/recovery techniques not typically documented.",db-wal-recovery,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:56.468908,105,0,2.0253058652647704
3,5,4,4,3,2,3,1,"The task provides detailed step-by-step instructions including the exact API schema, making it very clear but essentially providing the solution approach. The solution requires knowledge of HuggingFace transformers, PyTorch, Flask web frameworks, and model inference pipelines. While this is a well-documented pattern in ML deployment, it involves multiple interdependent components (model download, tokenization, inference, API server) and requires understanding of deep learning model serving.",hf-model-inference,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:30.814200,105,0,2.0253058652647704
1,4,5,5,5,5,3,0,"This task requires deep expertise in CoreWars programming, a highly specialized domain with obscure assembly-like Redcode language. The solution involves implementing multiple sophisticated strategies (stone bombers, imp spirals, vampire defense, clearers) that must work together to beat diverse opponent types. While verification is straightforward via pMARS batch mode, creating a winning warrior requires understanding complex game theory and CoreWars-specific tactics that are not commonly documented.",winning-avg-corewars,claude-opus-4-5-20251101,anthropic,2026-01-24T14:01:03.422099,149,0,2.1760912590556813
1,3,5,5,5,5,4,0,"This task requires implementing a GPT-2 inference engine in under 5000 bytes of C code, which demands expert-level knowledge of transformer architectures, TensorFlow checkpoint formats, BPE tokenization, and extreme code golf skills. The solution involves implementing matrix multiplication, attention mechanisms, layer normalization, and GELU activation in highly compressed C code. This is an exceptionally rare and novel task combining deep ML knowledge with systems programming and code size optimization.",gpt2-codegolf,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:33.733153,224,2,2.3521825181113627
2,4,5,5,4,4,4,0,"This task requires deep knowledge of image segmentation, the Segment Anything Model architecture, and histopathology workflows. The solution involves complex multi-step processing including mask suppression, contour extraction, iterative refinement with SAM's predictor, and careful tensor manipulation. While the task description provides the general approach (use MobileSAM to convert rectangles to polylines), implementing the actual solution requires understanding SAM's prediction workflow, handling overlapping masks, and ensuring contiguous single-cell masks - none of which have standard cookbook solutions.",sam-cell-seg,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:54.823281,246,0,2.392696953259666
1,3,5,5,4,4,3,0,"This task requires reverse engineering a compiled binary to understand it implements a ray tracer, then recreating equivalent C code with specific constraints. The solution involves deep knowledge of computer graphics (ray tracing algorithms, sphere intersection, lighting calculations), reverse engineering skills, and C programming expertise. The complexity is very high as the solver must understand 3D graphics math, decompile/analyze binary behavior, and produce functionally identical code under a size constraint.",path-tracing-reverse,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:44.530633,192,2,2.285557309007774
0,2,5,5,4,5,4,0,"This task requires highly specialized knowledge of G-code parsing, 3D visualization, and OCR processing. The solution involves a complex multi-stage pipeline: parsing G-code to extract 3D segments, rendering them with specific Euler rotations, and then performing OCR with image preprocessing. The task description gives no hint that the solution requires rendering G-code paths and using OCR to read text, making this an extremely atypical and challenging problem.",gcode-to-text,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:31.407704,298,4,2.4756711883244296
